Country,Deaths,Confirmed,Recovered,"Population density (per km2, 2017)",GDP per capita (current US$),Unemployment (% of labour force),Urban population (% of total population),Refugees and others of concern to UNHCR (in thousands),Health: Physicians (per 1000 pop.),Health: Total expenditure (% of GDP),tuberculosis(per/100k) 2018,obesityRate,totalSmokingRate,maleSmokingRate,femaleSmokingRate,Life expectancy(W),Life expectancy(M),deathrate(per/1000),Age 0-14(%),Age 60+(%),averageTemperature,Min temperature,Max Temperature,touristArrivals,population2019(thousand)
Jordan,0.0,1.0,0.0,109.3,4940.1,13.4,83.7,721.4,2.6,7.5,5,0.355,40.45,70.2,10.7,75.5,72.2,3.887,35.5,5.7,18.3,4.99,31.79,3567000,10101.694
Kuwait,0.0,72.0,2.0,232.1,29303.9,2.2,98.3,94.7,1.9,3.0,23,0.379,22.5,37.0,2.7,75.5,73.5,2.787,21.1,4.9,25.35,8.07,38.84,203000,4207.083
Latvia,0.0,10.0,1.0,31.3,13704.1,9.6,67.4,252.6,3.2,5.9,29,0.23600000000000002,36.6,48.9,24.3,78.7,68.8,14.669,15.4,26.2,5.6,-15.78,22.28,1793000,1906.743
Lebanon,3.0,61.0,1.0,594.6,8571.4,7.0,87.8,1054.2,2.4,6.4,11,0.32,38.2,45.4,31.0,80.9,77.3,4.419,23.1,12.0,16.4,4.55,29.44,1688000,6855.713000000001
Liechtenstein,0.0,1.0,0.0,237.0,169491.8,2.6,14.3,0.3,-99,-99.0,NaN,0.2,23.3,26.9,19.7,-99,,7.6,14.9,22.7,5.65,-12.01,18.44,697000,38.019
Lithuania,0.0,3.0,0.0,46.1,14383.7,9.2,66.5,4.7,4.3,6.6,44,0.263,30.15,38.1,22.2,79.3,68.5,13.737,14.8,25.3,6.2,-15.18,21.79,2296000,2759.627
Luxembourg,0.0,7.0,0.0,225.3,100160.8,5.6,90.2,4.2,2.9,6.9,8,0.226,23.6,25.8,21.4,83.4,78.8,7.125,16.4,19.6,8.65,-7.17,23.14,1054000,615.729
Malaysia,0.0,149.0,26.0,96.3,9768.4,3.3,74.7,238.6,1.3,4.2,92,0.156,22.2,43.0,1.4,77.1,72.6,5.138999999999999,24.3,9.7,25.4,-6.2,24.69,26757000,31949.777000000002
Maldives,0.0,8.0,0.0,1454.4,9446.5,2.9,45.5,-99,NaN,13.7,33,0.086,28.3,55.0,2.1,77.4,75.4,2.821,23.4,6.3,27.65,23.53,28.26,1286000,530.953
Malta,0.0,6.0,0.0,1346.4,23280.7,5.4,95.4,8.1,3.9,9.7,14,0.289,24.95,29.7,20.2,82.0,78.6,8.385,14.4,26.1,19.2,26.24,29.38,1966000,440.37199999999996
Mexico,0.0,8.0,4.0,66.4,8980.9,4.1,79.2,5.9,2.1,6.3,23,0.289,13.7,20.8,6.6,78.9,74.0,6.039,26.7,10.1,21.0,8.4,29.08,35079000,127575.52900000001
Moldova,0.0,3.0,0.0,25969.8,165870.6,NaN,100.0,0,6.6,4.3,86,0.18899999999999997,25.55,45.7,5.4,-99,,11.697000000000001,NaN,NaN,9.45,12.06,26.93,121000,4043.263
Monaco,0.0,1.0,0.0,2.0,3973.4,6.3,72.0,0,2.9,4.7,0,0.3,27.7,27.8,26.6,72.7,64.5,10.1,29.7,6.6,13.55,-12.78,25.23,336000,38.964
Mongolia,0.0,1.0,0.0,80.1,2919.3,10.4,60.2,6.4,0.6,5.9,428,0.20600000000000002,26.5,47.7,5.3,76.0,73.7,6.351,27.4,10.7,-0.7,-5.36,23.04,404000,3225.167
Morocco,1.0,5.0,0.0,204.4,724.5,3.0,18.6,30.7,NaN,5.8,99,0.261,23.4,45.4,1.4,70.4,67.4,5.072,30.9,8.8,17.1,-27.44,20.72,10332000,36471.769
Nepal,0.0,1.0,1.0,505.2,44332.1,5.6,90.5,116.3,3.4,10.9,151,0.040999999999999995,24.1,37.1,11.1,83.1,79.4,6.358,16.4,25.0,8.1,7.12,28.91,753000,28608.71
Netherlands,5.0,503.0,0.0,17.9,38294.3,5.5,86.3,1.7,2.9,11.0,5.3,0.204,25.05,26.2,23.9,83.1,79.5,8.812000000000001,19.8,20.8,9.25,2.68,23.44,15828000,17097.13
New Zealand,0.0,5.0,0.0,209.6,2714.5,5.4,47.8,2437.5,NaN,3.7,7.3,0.308,13.0,16.0,12.0,52.6,51.2,7.0329999999999995,44.0,4.5,10.55,-5.42,21.96,3370000,4783.063
Nigeria,0.0,2.0,0.0,14.5,74185.5,5.1,80.5,73.2,4.4,9.7,219,0.08900000000000001,9.25,17.4,1.1,83.6,79.5,11.770999999999999,17.8,22.3,26.8,3.34,17.7,1889000,200963.599
North Macedonia,0.0,7.0,0.0,15.0,15550.8,17.8,77.6,0.6,1.5,3.6,13,0.19,39.0,50.0,33.0,78.7,74.5,10.017000000000001,21.8,4.0,9.5,22.3,31.83,1184963,2077.1
Norway,0.0,598.0,1.0,255.6,1410.4,5.9,38.8,2739.4,0.8,2.6,4.1,0.231,22.25,22.4,22.1,66.8,65.0,7.979,34.8,6.7,1.5,-15.51,15.31,5960000,5378.857
Oman,0.0,18.0,9.0,55.1,13268.1,6.2,66.6,21.5,1.6,8.0,5.9,0.27,11.0,21.0,1.0,80.5,74.3,2.4459999999999997,27.4,11.4,25.6,17.56,35.1,2292000,4974.986
Pakistan,0.0,19.0,2.0,17.1,4174.4,5.5,59.7,0.2,1.3,9.8,265,0.086,22.45,41.9,3.0,74.9,70.7,6.934,29.4,9.4,20.2,5.95,31.23,907000,216565.318
Panama,1.0,8.0,0.0,25.1,6069.1,5.3,78.6,2.5,1.1,5.5,52,0.22699999999999998,6.6,10.6,2.6,76.8,71.5,5.098,27.4,10.4,25.4,24.08,29.05,1921000,4246.439
Paraguay,0.0,5.0,0.0,351.9,2904.2,5.9,44.4,240.2,NaN,4.7,43,0.203,18.1,28.3,7.9,72.1,65.4,5.527,31.7,7.6,23.55,14.01,29.5,1308000,7044.6359999999995
Peru,0.0,11.0,0.0,124.6,12355.5,5.3,60.5,23.7,2.3,6.4,123,0.19699999999999998,5.0,10.0,4.8,81.0,72.9,5.539,14.8,24.0,19.6,17.32,22.72,3744000,32510.452999999998
Philippines,1.0,49.0,2.0,112.8,19239.2,10.5,63.5,1.8,4.4,9.5,554,0.064,25.75,43.0,8.5,83.5,77.3,5.9,13.6,27.9,25.85,22.98,29.16,5967000,108116.615
Poland,0.0,31.0,0.0,227.3,73653.4,0.3,99.2,1.5,2.0,2.2,16,0.231,28.05,32.4,23.7,79.4,76.8,10.201,13.9,2.8,7.85,-13.11,22.51,17463000,37887.768
Portugal,0.0,59.0,0.0,123.3,1591.4,5.0,45.0,5.5,2.5,10.3,24,0.20800000000000002,22.6,31.5,13.7,75.2,66.7,10.702,15.7,17.6,15.15,4.25,25.79,18200000,10226.187
Qatar,0.0,262.0,0.0,85.5,9120.7,7.1,54.6,3.2,2.7,5.6,31,0.35100000000000003,28.0,35.0,0.5,78.4,71.4,1.244,15.3,24.9,27.15,13.89,37.6,2938000,2832.067
Romania,0.0,45.0,6.0,8.8,9243.3,5.8,74.0,418.4,3.3,7.1,68,0.225,29.8,36.9,22.7,75.9,64.7,13.099,17.6,21.1,8.8,-10.92,24.02,2481000,19364.557
Russia,0.0,20.0,3.0,556.7,49240.2,6.6,94.2,-99,6.4,6.1,54,0.231,40.9,59.0,22.8,86.4,81.7,12.785,15.0,24.1,-5.1,-30.58,16.89,24571000,145872.256
San Marino,2.0,62.0,0.0,15.3,20710.6,5.5,83.1,70.2,2.6,4.7,0,0.2,15.2,14.4,16.1,75.6,72.7,8.8,25.2,5.6,11.85,-0.27,27.27,60000,33.86
Saudi Arabia,0.0,21.0,1.0,82.3,901.1,9.3,43.7,17.6,NaN,4.7,10,0.354,15.4,27.9,2.9,67.5,63.8,3.513,42.9,4.7,24.65,12.76,36.5,18044000,34268.528
Senegal,0.0,4.0,1.0,100.5,5238.6,15.5,55.6,254.1,2.5,10.4,118,0.08800000000000001,12.05,23.4,0.7,77.5,71.8,5.691,16.5,24.5,27.85,21.54,32.87,900000,16296.364
Serbia,0.0,12.0,0.0,8155.5,52239.0,2.0,100.0,0,1.9,4.9,17,0.215,41.65,43.6,39.7,84.5,80.1,13.194,15.0,19.5,10.55,-8.43,24.45,1281000,8772.235
Singapore,0.0,178.0,96.0,113.3,16082.5,9.9,53.6,2.7,3.4,8.1,47,0.061,16.5,28.0,5.0,79.8,72.6,4.6,15.4,21.8,26.45,24.03,28.88,12914000,5804.3369999999995
Slovakia,0.0,10.0,0.0,103.3,20689.8,8.1,49.7,0.6,2.8,9.2,5.8,0.205,28.65,39.7,17.6,83.2,77.2,9.968,15.0,26.3,6.8,-11.67,22.16,5415000,5457.013000000001
Slovenia,0.0,57.0,0.0,46.8,5773.0,26.0,64.8,1201.9,0.8,8.8,5.3,0.20199999999999999,20.2,22.3,18.1,63.0,56.1,10.044,29.0,8.4,8.9,-7.15,24.03,3032000,2078.654
South Africa,0.0,13.0,0.0,92.9,25865.4,18.3,79.6,28.8,3.8,9.0,520,0.28300000000000003,18.95,31.4,6.5,85.3,79.6,9.494,14.7,25.3,17.75,8.53,24.65,10044000,58558.27
Spain,54.0,2277.0,183.0,332.9,3973.7,5.2,18.4,44.2,NaN,3.5,9.4,0.23800000000000002,29.2,31.3,27.1,78.0,71.2,9.115,24.0,14.9,13.3,1.72,26.03,75315000,46736.776
Sri Lanka,0.0,2.0,1.0,24.2,50687.5,7.3,85.8,348.5,4.1,11.9,64,0.052000000000000005,14.4,28.4,0.4,83.7,80.0,6.7170000000000005,17.5,25.5,26.95,23.16,29.74,2051000,21323.732999999997
Sweden,1.0,500.0,1.0,214.5,80831.1,4.6,73.9,110.1,4.1,11.7,5.5,0.20600000000000002,20.6,20.4,20.8,84.8,80.5,9.165,14.9,24.1,2.1,-16.61,17.93,6559000,10036.379
Switzerland,4.0,652.0,4.0,135.1,5814.8,0.6,50.4,554.1,NaN,4.1,6.4,0.195,23.3,26.9,19.7,78.4,70.8,8.051,17.3,16.9,5.5,-8.81,21.09,10402000,8591.365
Thailand,1.0,59.0,34.0,82.6,4836.1,27.3,57.1,1.4,2.8,6.5,153,0.1,21.85,41.4,2.3,77.2,73.2,7.746,16.7,19.5,26.3,20.1,30.44,32588000,69625.582
Togo,0.0,1.0,0.0,143.4,559.4,6.8,40.0,13.8,NaN,5.2,36,0.084,8.0,12.0,1.5,59.8,58.3,8.426,41.6,4.6,27.15,22.66,30.98,338000,8082.366
Tunisia,0.0,7.0,0.0,74.2,3660.9,14.6,66.8,0.7,1.6,7.0,35,0.26899999999999996,22.0,36.8,3.0,77.1,73.0,6.267,24.0,12.3,19.2,6.32,33.81,5724000,11694.719
Turkey,0.0,1.0,0.0,104.9,9125.8,10.8,73.4,3006.3,1.7,5.4,16,0.321,25.95,39.5,12.4,78.1,71.5,5.444,25.0,12.0,11.1,-4.52,26.27,30289000,83429.615
Ukraine,0.0,1.0,0.0,76.3,2021.6,8.8,69.7,1644.8,3.0,7.1,80,0.24100000000000002,31.7,49.4,14.0,76.0,66.1,15.192,15.5,23.2,8.3,-14.72,24.3,13333000,43993.638
United Arab Emirates,0.0,74.0,17.0,112.4,40438.8,3.7,85.5,1.3,1.6,3.6,1,0.317,30.0,37.4,1.2,78.2,76.0,1.5190000000000001,13.9,2.4,27.0,15.74,37.75,14870000,9770.529
United Kingdom,8.0,459.0,19.0,273.6,44162.4,5.0,82.6,151.7,2.8,9.1,8,0.278,19.15,19.9,18.4,82.8,79.0,9.398,17.7,23.9,8.45,-1.47,17.29,35814000,67530.172
United States,68.0,38.0,16.0,35.5,56053.8,4.9,81.6,616.5,2.6,17.1,3,0.36200000000000004,17.25,19.5,15.0,81.2,76.5,8.782,18.9,21.5,8.55,-7.58,23.01,76407000,329064.917
Vietnam,0.0,,,308.1,2067.9,2.2,33.6,11.0,1.2,7.1,182,0.021,24.2,47.1,1.3,80.3,70.7,6.354,23.1,11.1,24.45,16.56,28.56,10013000,96462.106
