Country	Last	Date	Previous	Max	Min	Scale
Qatar	19.07	Dec/15	24.72	37.6	13.89	celsius
Republic of the Congo	24.92	Dec/15	25.19	26.98	22.29	celsius
Romania	21.61	Aug/13	20.86	24.02	-10.92	celsius
Russia	-20.43	Dec/15	-16.05	16.89	-30.58	celsius
Rwanda	21.08	Aug/13	20.02	21.66	16.88	celsius
Samoa	26.79	Aug/13	26.6	28.22	24.42	celsius
San Marino	24.65	Aug/13	24.3	27.27	-0.27	celsius
Sao Tome and Principe	25.06	Aug/13	25.09	28.43	22.64	celsius
Saudi Arabia	34.68	Aug/13	35.71	36.5	12.76	celsius
Senegal	27.60	Aug/13	29.41	32.87	21.54	celsius
Serbia	23.08	Aug/13	22.04	24.45	-8.43	celsius
Seychelles	26.95	Aug/13	26.54	29.58	22.61	celsius
Sierra Leone	25.08	Aug/13	25.25	29.55	21.95	celsius
Singapore	27.69	Dec/15	27.88	28.88	24.03	celsius
Slovakia	1.43	Dec/15	4.68	22.16	-11.67	celsius
Slovenia	1.91	Dec/15	6.21	24.03	-7.15	celsius
Solomon Islands	26.15	Dec/15	25.97	28.28	24.19	celsius
Somalia	26.12	Dec/15	26.64	29.6	23.72	celsius
South Africa	24.17	Dec/15	20.77	24.65	8.53	celsius
South Korea	1.64	Dec/15	7.96	28.07	-6.23	celsius
Spain	8.43	Dec/15	11.15	26.03	1.72	celsius
Sri Lanka	26.51	Dec/15	26.43	29.74	23.16	celsius
St Kitts and Nevis	24.98	Dec/15	25.35	27.28	21.78	celsius
St Lucia	26.68	Dec/15	27.26	28.54	22.68	celsius
St Vincent and the Grenadines	27.24	Dec/15	27.81	29.46	24.03	celsius
Sudan	21.83	Dec/15	26.37	32.12	13.75	celsius
Suriname	26.67	Dec/15	27.53	28.59	23.4	celsius
Swaziland	24.14	Dec/15	22.21	24.82	11.41	celsius
Sweden	-3.07	Dec/15	-0.62	17.93	-16.61	celsius
Switzerland	1.88	Dec/15	4.58	21.09	-8.81	celsius
Syria	7.28	Dec/15	13.55	32.65	1.76	celsius
Taiwan	27.97	Aug/13	27.87	28.85	12.68	celsius
